"outcome","pathway_id","exposure","exposure_label","scale","model_structure","family","offset_policy","n_months","data_status","se_method","term","estimate","std_error","statistic","p_value","rr","rr_low","rr_high","q_value_core_bh","manuscript_role"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","mean_temp",-0.00751502974560316,0.00902963983808343,-0.832262402527702,0.405260847551241,0.992513137487073,0.97510207239473,1.01023508817409,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_temp",-0.00751502974560316,0.00885957312684169,-0.84823835618389,0.396305240106561,0.992513137487073,0.9754271580813,1.00989840186747,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE","model","mean_temp",-0.0084016420091393,0.00828134811092599,-1.01452588353998,0.310331885079435,0.991633553150404,0.975667834200645,1.00786053333339,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE","HC1","mean_temp",-0.0084016420091393,0.00867254663359814,-0.968762967107109,0.332663467664835,0.991633553150404,0.974920028488859,1.00863360583317,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","mean_temp",-0.0084016420091393,0.00809740140355468,-1.03757262242811,0.299469069310471,0.991633553150404,0.976019660555542,1.00749722928121,,"sensitivity"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_temp",-0.0084016420091393,0.00790570978723158,-1.06273089137533,0.287904007620619,0.991633553150404,0.976386435233844,1.00711876798881,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","model","mean_tmax",-0.0070872045953702,0.00733828187329686,-0.965785277499315,0.334151636969791,0.992937850414184,0.978758607762479,1.00732250727178,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","HC1","mean_tmax",-0.0070872045953702,0.00856869087305828,-0.827104711835716,0.408177713802675,0.992937850414184,0.976401075755901,1.00975469944241,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","mean_tmax",-0.0070872045953702,0.00750456378126357,-0.944385949928845,0.344972458597171,0.992937850414184,0.978439670034678,1.00765085981254,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_tmax",-0.0070872045953702,0.00714064700733007,-0.992515746555598,0.320946001953216,0.992937850414184,0.979137817383346,1.0069323820215,0.641892003906431,"amended_core_candidate"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE","model","mean_tmax",-0.00793564137674462,0.0074510430146412,-1.06503765461442,0.286858890297369,0.992095762699883,0.977712435235243,1.00669068623459,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE","HC1","mean_tmax",-0.00793564137674462,0.00762813838837273,-1.04031166881301,0.298195124665631,0.992095762699883,0.977373123363127,1.00704017620237,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","mean_tmax",-0.00793564137674462,0.00675602557199516,-1.17460203372219,0.24015396928777,0.992095762699883,0.979045216113886,1.00532027139038,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_tmax",-0.00793564137674462,0.00635840469342794,-1.24805541002241,0.212010766090329,0.992095762699883,0.979808519595763,1.00453709340386,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE","model","mean_tmax",-0.00739560165543347,0.00737496872992101,-1.00279769667751,0.315958480407038,0.992631678513974,0.978386453405227,1.00708431291145,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE","HC1","mean_tmax",-0.00739560165543347,0.00852450077566573,-0.867570060706096,0.385629742305358,0.992631678513974,0.976184549173617,1.009355915358,,"sensitivity"
