SEX,AGE,CCYY,H,obs_value,sd_value
M,80-84,1970,1,3.6000000000,
M,85_and_over,1970,1,1.7000000000,
,,1970,2,3995.4000000000,
F,,1970,2,0.0000000000,9
M,,1970,2,0.0000000000,9
,,1971,1,4045.3000000000,
,0-4,1971,1,406.0000000000,
,10-14,1971,1,531.4000000000,
,15-19,1971,1,442.4000000000,
,20-24,1971,1,341.8000000000,
,25-29,1971,1,211.9000000000,
,30-34,1971,1,209.6000000000,
,35-39,1971,1,251.4000000000,
,40-44,1971,1,258.7000000000,
,45-49,1971,1,224.6000000000,
,5-9,1971,1,514.7000000000,
,50-54,1971,1,195.9000000000,
,55-59,1971,1,155.6000000000,
,60-64,1971,1,119.0000000000,
,65-69,1971,1,75.6000000000,
,70-74,1971,1,54.5000000000,
,75-79,1971,1,29.1000000000,
,80-84,1971,1,15.3000000000,
,85_and_over,1971,1,7.8000000000,
F,,1971,1,1988.1000000000,
F,0-4,1971,1,196.7000000000,
F,10-14,1971,1,259.6000000000,
F,15-19,1971,1,215.1000000000,
F,20-24,1971,1,164.4000000000,
F,25-29,1971,1,95.4000000000,
F,30-34,1971,1,94.4000000000,
F,35-39,1971,1,118.3000000000,
F,40-44,1971,1,123.8000000000,
F,45-49,1971,1,108.4000000000,
F,5-9,1971,1,252.0000000000,
F,50-54,1971,1,94.6000000000,
F,55-59,1971,1,78.9000000000,
F,60-64,1971,1,64.3000000000,
F,65-69,1971,1,47.2000000000,
F,70-74,1971,1,36.1000000000,
F,75-79,1971,1,21.5000000000,
F,80-84,1971,1,11.4000000000,
F,85_and_over,1971,1,6.0000000000,
M,,1971,1,2057.2000000000,
M,0-4,1971,1,209.3000000000,
M,10-14,1971,1,271.8000000000,
M,15-19,1971,1,227.3000000000,
M,20-24,1971,1,177.4000000000,
M,25-29,1971,1,116.5000000000,
M,30-34,1971,1,115.2000000000,
M,35-39,1971,1,133.1000000000,
M,40-44,1971,1,134.9000000000,
M,45-49,1971,1,116.2000000000,
M,5-9,1971,1,262.7000000000,
M,50-54,1971,1,101.3000000000,
M,55-59,1971,1,76.7000000000,
M,60-64,1971,1,54.7000000000,
M,65-69,1971,1,28.4000000000,
M,70-74,1971,1,18.4000000000,
M,75-79,1971,1,7.6000000000,
M,80-84,1971,1,3.9000000000,
M,85_and_over,1971,1,1.8000000000,
,,1971,2,4095.5000000000,
F,,1971,2,0.0000000000,9
M,,1971,2,0.0000000000,9
,,1972,1,4123.6000000000,
,0-4,1972,1,397.7000000000,
,10-14,1972,1,542.5000000000,
,15-19,1972,1,462.6000000000,
,20-24,1972,1,368.4000000000,
,25-29,1972,1,229.9000000000,
,30-34,1972,1,205.8000000000,
,35-39,1972,1,245.3000000000,
,40-44,1972,1,261.1000000000,
,45-49,1972,1,231.5000000000,
,5-9,1972,1,496.0000000000,
,50-54,1972,1,201.7000000000,
,55-59,1972,1,162.4000000000,
,60-64,1972,1,125.1000000000,
,65-69,1972,1,80.4000000000,
,70-74,1972,1,57.0000000000,
,75-79,1972,1,31.5000000000,
,80-84,1972,1,16.1000000000,
,85_and_over,1972,1,8.6000000000,
F,,1972,1,2023.3000000000,
F,0-4,1972,1,192.6000000000,
F,10-14,1972,1,265.3000000000,
F,15-19,1972,1,224.7000000000,
F,20-24,1972,1,178.0000000000,
F,25-29,1972,1,104.4000000000,
F,30-34,1972,1,91.6000000000,
F,35-39,1972,1,114.3000000000,
F,40-44,1972,1,124.6000000000,
F,45-49,1972,1,111.7000000000,
F,5-9,1972,1,241.8000000000,
F,50-54,1972,1,97.3000000000,
F,55-59,1972,1,81.5000000000,
F,60-64,1972,1,66.9000000000,
F,65-69,1972,1,49.3000000000,
F,70-74,1972,1,37.6000000000,
F,75-79,1972,1,23.0000000000,
F,80-84,1972,1,12.1000000000,
F,85_and_over,1972,1,6.6000000000,
M,,1972,1,2100.3000000000,
M,0-4,1972,1,205.1000000000,
M,10-14,1972,1,277.2000000000,
M,15-19,1972,1,237.9000000000,
M,20-24,1972,1,190.4000000000,
M,25-29,1972,1,125.5000000000,
M,30-34,1972,1,114.2000000000,
M,35-39,1972,1,131.0000000000,
M,40-44,1972,1,136.5000000000,
M,45-49,1972,1,119.8000000000,
M,5-9,1972,1,254.2000000000,
M,50-54,1972,1,104.4000000000,
M,55-59,1972,1,80.9000000000,
M,60-64,1972,1,58.2000000000,
M,65-69,1972,1,31.1000000000,
M,70-74,1972,1,19.4000000000,
M,75-79,1972,1,8.5000000000,
M,80-84,1972,1,4.0000000000,
M,85_and_over,1972,1,2.0000000000,
,,1972,2,4184.3000000000,
F,,1972,2,0.0000000000,9
M,,1972,2,0.0000000000,9
,,1973,1,4241.6000000000,
,0-4,1973,1,396.8000000000,
,10-14,1973,1,552.5000000000,
,15-19,1973,1,485.3000000000,
,20-24,1973,1,394.2000000000,
,25-29,1973,1,262.1000000000,
,30-34,1973,1,204.0000000000,
,35-39,1973,1,242.9000000000,
,40-44,1973,1,261.5000000000,
,45-49,1973,1,241.4000000000,
,5-9,1973,1,479.4000000000,
,50-54,1973,1,209.1000000000,
,55-59,1973,1,170.7000000000,
,60-64,1973,1,132.4000000000,
,65-69,1973,1,87.0000000000,
,70-74,1973,1,60.4000000000,
,75-79,1973,1,34.9000000000,
,80-84,1973,1,17.4000000000,
,85_and_over,1973,1,9.6000000000,
