"month_id","year","month","n_events","outcome","care_setting","cohort","event_definition","data_status","source_file","source_sha256","stroke_type","age_group","sex"
"2019-05",2019,5,215,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2019-06",2019,6,179,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2019-07",2019,7,175,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2019-08",2019,8,158,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2019-09",2019,9,197,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2019-10",2019,10,186,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2019-11",2019,11,174,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2019-12",2019,12,247,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2020-01",2020,1,212,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2020-02",2020,2,137,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
