month_id,year,month,n_days,days_warmer_than_climatology,days_cooler_than_climatology,days_tmax_above_climatology,days_tmin_below_climatology,mean_relative_humidity,total_rainfall_mm,n_clim_years_min,climatology_rule,data_status
2023-02,2023,2,28,21,7,20,8,73.178571,1.6,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2023-03,2023,3,31,21,10,22,13,75.870968,70.3,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2023-04,2023,4,30,15,15,13,13,82.266667,77.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2023-05,2023,5,31,16,15,16,16,81.516129,182.8,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2023-06,2023,6,30,20,10,19,16,82.9,490.9,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2023-07,2023,7,31,23,8,23,7,78.096774,175.2,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2023-08,2023,8,31,27,4,22,6,79.516129,140.7,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2023-09,2023,9,30,17,13,17,13,81.433333,1067.1,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2023-10,2023,10,31,23,8,18,8,75.903226,546.0,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2023-11,2023,11,30,21,9,22,10,69.4,3.3,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2023-12,2023,12,31,23,8,22,9,69.967742,0.9,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
